scenario,scenario_name,offence,unit,limit_from,limit_to,fee
2,Guilty Plea,A,DAY,0,2,782.45
2,Guilty Plea,A,PPE,0,79,782.45
2,Guilty Plea,A,PPE,80,399,782.45
2,Guilty Plea,A,PPE,400,999,2580.35
2,Guilty Plea,A,PPE,1000,2799,4358.15
2,Guilty Plea,A,PPE,2800,4599,7768.95
2,Guilty Plea,A,PPE,4600,6399,11179.74
2,Guilty Plea,A,PPE,6400,8199,13192.66
2,Guilty Plea,A,PPE,8200,9999,15205.59
2,Guilty Plea,A,PPE,10000,,17217.39
2,Guilty Plea,B,DAY,0,2,639.53
2,Guilty Plea,B,PPE,0,69,639.53
2,Guilty Plea,B,PPE,70,399,639.53
2,Guilty Plea,B,PPE,400,999,2130.01
2,Guilty Plea,B,PPE,1000,2799,3495.17
2,Guilty Plea,B,PPE,2800,4599,6109.34
2,Guilty Plea,B,PPE,4600,6399,8723.53
2,Guilty Plea,B,PPE,6400,8199,10638.77
2,Guilty Plea,B,PPE,8200,9999,12554.02
2,Guilty Plea,B,PPE,10000,,14468.2
2,Guilty Plea,C,DAY,0,2,509.35
2,Guilty Plea,C,PPE,0,39,509.35
2,Guilty Plea,C,PPE,40,399,509.35
2,Guilty Plea,C,PPE,400,999,1468.32
2,Guilty Plea,C,PPE,1000,2799,2342.71
2,Guilty Plea,C,PPE,2800,4599,3766.37
2,Guilty Plea,C,PPE,4600,6399,5190.05
2,Guilty Plea,C,PPE,6400,8199,6613.72
2,Guilty Plea,C,PPE,8200,9999,8037.39
2,Guilty Plea,C,PPE,10000,,9460.26
2,Guilty Plea,D,DAY,0,2,743.31
2,Guilty Plea,D,PPE,0,79,743.31
2,Guilty Plea,D,PPE,80,399,743.31
2,Guilty Plea,D,PPE,400,999,2417.61
2,Guilty Plea,D,PPE,1000,2799,4065.32
2,Guilty Plea,D,PPE,2800,4599,7143.15
2,Guilty Plea,D,PPE,4600,6399,10220.98
2,Guilty Plea,D,PPE,6400,8199,12133.93
2,Guilty Plea,D,PPE,8200,9999,14046.86
2,Guilty Plea,D,PPE,10000,,15958.74
2,Guilty Plea,E,DAY,0,2,212.4
2,Guilty Plea,E,PPE,0,39,212.4
2,Guilty Plea,E,PPE,40,399,212.4
2,Guilty Plea,E,PPE,400,999,1264.94
2,Guilty Plea,E,PPE,1000,2799,2016.77
2,Guilty Plea,E,PPE,2800,4599,2847.4
2,Guilty Plea,E,PPE,4600,6399,3678.03
2,Guilty Plea,E,PPE,6400,8199,4508.66
2,Guilty Plea,E,PPE,8200,9999,5339.29
2,Guilty Plea,E,PPE,10000,,6169.45
2,Guilty Plea,F,DAY,0,2,225.18
2,Guilty Plea,F,PPE,0,49,225.18
2,Guilty Plea,F,PPE,50,399,225.18
2,Guilty Plea,F,PPE,400,999,1217.1
2,Guilty Plea,F,PPE,1000,2799,1810.58
2,Guilty Plea,F,PPE,2800,4599,2383.44
2,Guilty Plea,F,PPE,4600,6399,2956.3
2,Guilty Plea,F,PPE,6400,8199,3529.15
2,Guilty Plea,F,PPE,8200,9999,4102.01
2,Guilty Plea,F,PPE,10000,,4674.55
2,Guilty Plea,G,DAY,0,2,225.18
2,Guilty Plea,G,PPE,0,49,225.18
2,Guilty Plea,G,PPE,50,399,225.18
2,Guilty Plea,G,PPE,400,999,1217.1
2,Guilty Plea,G,PPE,1000,2799,1810.58
2,Guilty Plea,G,PPE,2800,4599,2383.44
2,Guilty Plea,G,PPE,4600,6399,2956.3
2,Guilty Plea,G,PPE,6400,8199,3529.15
2,Guilty Plea,G,PPE,8200,9999,4102.01
2,Guilty Plea,G,PPE,10000,,4674.55
2,Guilty Plea,H,DAY,0,2,219.62
2,Guilty Plea,H,PPE,0,39,219.62
2,Guilty Plea,H,PPE,40,399,219.62
2,Guilty Plea,H,PPE,400,999,1225.24
2,Guilty Plea,H,PPE,1000,2799,1819.39
2,Guilty Plea,H,PPE,2800,4599,2388.5
2,Guilty Plea,H,PPE,4600,6399,2957.63
2,Guilty Plea,H,PPE,6400,8199,3526.75
2,Guilty Plea,H,PPE,8200,9999,4095.87
2,Guilty Plea,H,PPE,10000,,4664.65
2,Guilty Plea,I,DAY,0,2,200.79
2,Guilty Plea,I,PPE,0,39,200.79
2,Guilty Plea,I,PPE,40,399,200.79
2,Guilty Plea,I,PPE,400,999,1324.71
2,Guilty Plea,I,PPE,1000,2799,2142.48
2,Guilty Plea,I,PPE,2800,4599,3059.21
2,Guilty Plea,I,PPE,4600,6399,3975.94
2,Guilty Plea,I,PPE,6400,8199,4892.67
2,Guilty Plea,I,PPE,8200,9999,5809.41
2,Guilty Plea,I,PPE,10000,,6725.64
2,Guilty Plea,J,DAY,0,2,782.45
2,Guilty Plea,J,PPE,0,79,782.45
2,Guilty Plea,J,PPE,80,399,782.45
2,Guilty Plea,J,PPE,400,999,2580.35
2,Guilty Plea,J,PPE,1000,2799,4358.15
2,Guilty Plea,J,PPE,2800,4599,7768.95
2,Guilty Plea,J,PPE,4600,6399,11179.74
2,Guilty Plea,J,PPE,6400,8199,13192.66
2,Guilty Plea,J,PPE,8200,9999,15205.59
2,Guilty Plea,J,PPE,10000,,17217.39
2,Guilty Plea,K,DAY,0,2,736.97
2,Guilty Plea,K,PPE,0,119,736.97
2,Guilty Plea,K,PPE,120,399,736.97
2,Guilty Plea,K,PPE,400,999,2209.26
2,Guilty Plea,K,PPE,1000,2799,3965.37
2,Guilty Plea,K,PPE,2800,4599,8871.68
2,Guilty Plea,K,PPE,4600,6399,13777.99
2,Guilty Plea,K,PPE,6400,8199,17519.41
2,Guilty Plea,K,PPE,8200,9999,21260.84
2,Guilty Plea,K,PPE,10000,,25000.17
3,Cracked Trial,A,DAY,0,2,1040.27
3,Cracked Trial,A,PPE,0,79,1040.27
3,Cracked Trial,A,PPE,80,249,1040.27
3,Cracked Trial,A,PPE,250,999,2858.58
3,Cracked Trial,A,PPE,1000,2799,7893.59
3,Cracked Trial,A,PPE,2800,4599,14956.44
3,Cracked Trial,A,PPE,4600,6399,22019.3
3,Cracked Trial,A,PPE,6400,8199,27626.04
3,Cracked Trial,A,PPE,8200,9999,33232.78
3,Cracked Trial,A,PPE,10000,,38836.4
3,Cracked Trial,B,DAY,0,2,815.52
3,Cracked Trial,B,PPE,0,69,815.52
3,Cracked Trial,B,PPE,70,249,815.52
3,Cracked Trial,B,PPE,250,999,2224.04
3,Cracked Trial,B,PPE,1000,2799,4970.93
3,Cracked Trial,B,PPE,2800,4599,9361.88
3,Cracked Trial,B,PPE,4600,6399,13752.83
3,Cracked Trial,B,PPE,6400,8199,17444.86
3,Cracked Trial,B,PPE,8200,9999,21136.87
3,Cracked Trial,B,PPE,10000,,24826.83
3,Cracked Trial,C,DAY,0,2,603.55
3,Cracked Trial,C,PPE,0,39,603.55
